DATAFLOW,LAST UPDATE,freq,so_eur,croparea,crops,unit,agrarea,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,AT,2013,12690,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,AT,2016,11400,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,BE,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,BG,2013,51610,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,BG,2016,31410,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,CY,2013,9180,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,CY,2016,9110,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,CZ,2013,2570,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,CZ,2016,2410,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,DE,2013,18650,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,DE,2016,16990,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,DK,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,DK,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,EE,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,EE,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,EL,2013,103050,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,EL,2016,97790,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,ES,2013,123410,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,ES,2016,117190,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,FI,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,FR,2013,76990,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,FR,2016,74270,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,HR,2013,51460,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,HR,2016,39600,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,HU,2013,85220,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,HU,2016,63720,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,IE,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,IE,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,IT,2013,249390,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,IT,2016,264450,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LT,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LT,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LU,2013,330,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LU,2016,290,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LV,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,LV,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,MK,2013,47860,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,MT,2013,1100,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,MT,2016,1080,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,NL,2013,100,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,NL,2016,90,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,NO,2013,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,PL,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,PT,2013,126920,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,PT,2016,118560,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,RO,2013,838950,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,RO,2016,733570,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,SE,2016,0,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,SI,2013,26480,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,SI,2016,23040,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,SK,2013,730,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,SK,2016,980,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,UK,2013,350,
ESTAT:EF_LPC_VINEYD$DEFAULTVIEW(1.0),27/01/21 23:00:00,A,TOTAL,TOTAL,W1000,HLD,TOTAL,UK,2016,370,
